method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc,final_test_loss,model,seed,dataset,epochs,scheduler,source,diverged,final_train_acc,sum_lr,exp,epochs_run,wall_time,gap
SGD+WD,128,0.02,0.01,0.0,75.64,0.0995072705078125,76.07,0.981905779838562,resnet18,42,cifar100,100,cosine,nips26,0,99.936,394.9100000000002,e6b,100.0,2041.5,24.296000000000006
SGDM,128,0.5,0.0,0.5,70.46,0.0024454302428662,70.46,2.0877706097602844,resnet18,42,cifar100,100,cosine,nips26,0,99.95,9872.749999999996,e6b,100.0,2039.3,29.49000000000001
SGDM,128,0.02,0.0,0.9,73.47,0.0031239815735816,73.69,1.5678476818084717,resnet18,42,cifar100,100,cosine,nips26,0,99.958,394.9100000000002,e6b,100.0,2040.1,26.488
SGDM+WD,128,0.5,0.005,0.5,72.52,0.4466964192295074,72.56,0.9907872869491576,resnet18,42,cifar100,100,cosine,nips26,0,89.744,9872.749999999996,e6b,100.0,2049.4,17.224000000000004
SGDM+WD,128,0.1,0.005,0.5,78.1,0.0685041992044448,78.14,0.8686185225486756,resnet18,42,cifar100,100,cosine,nips26,0,99.78,1974.5500000000009,e6b,100.0,2053.6,21.680000000000007
SGDM,128,0.05,0.0,0.9,72.04,0.0024341213297471,72.11,1.815874196243286,resnet18,42,cifar100,100,cosine,nips26,0,99.95,987.2750000000004,e6b,100.0,2051.9,27.909999999999997
SGDM,128,1.0,0.0,0.5,66.54,0.0037313539219647,66.78,2.577224124145508,resnet18,42,cifar100,100,cosine,nips26,0,99.924,19745.49999999999,e6b,100.0,2184.0,33.384
SGDM+WD,128,0.25,0.005,0.5,76.92,0.1302809028434753,76.92,0.8698793231010437,resnet18,42,cifar100,100,cosine,nips26,0,98.614,4936.374999999997,e6b,100.0,2185.0,21.694000000000003
SGDM+WD,128,1.0,0.005,0.5,49.78,1.8559688204574585,49.78,1.9376540309906003,resnet18,42,cifar100,100,cosine,nips26,0,51.936,19745.49999999999,e6b,100.0,2185.0,2.155999999999999
SGDM,128,0.1,0.0,0.9,69.51,0.0021994809102918,69.88,2.237803397369385,resnet18,42,cifar100,100,cosine,nips26,0,99.956,1974.5500000000009,e6b,100.0,2045.8,30.445999999999998
SGDM+WD,128,0.2,0.001,0.9,75.88,0.0440313749992847,75.88,0.9342087919235228,resnet18,42,cifar100,100,cosine,nips26,0,99.644,3949.1000000000017,e6b,100.0,2045.9,23.76400000000001
SGDM,128,0.2,0.0,0.9,69.33,0.0017802887773513,69.35,2.4101082107543945,resnet18,42,cifar100,100,cosine,nips26,0,99.966,3949.1000000000017,e6b,100.0,2047.7,30.635999999999996
SGDM,128,0.002,0.0,0.99,71.85,0.0034145379494875,71.97,1.6537808403015135,resnet18,42,cifar100,100,cosine,nips26,0,99.968,39.49100000000001,e6b,100.0,2059.3,28.11800000000001
SGDM,128,0.005,0.0,0.99,70.59,0.0024617443061061,70.8,1.896436124992371,resnet18,42,cifar100,100,cosine,nips26,0,99.962,98.72750000000003,e6b,100.0,2058.4,29.372
SGDM+WD,128,0.002,0.0001,0.99,72.34,0.0049425439762324,72.41,1.371642083930969,resnet18,42,cifar100,100,cosine,nips26,0,99.968,39.49100000000001,e6b,100.0,2060.6,27.628
SGDM+WD,128,0.005,0.0001,0.99,72.85,0.004259231986925,73.0,1.2893481890678409,resnet18,42,cifar100,100,cosine,nips26,0,99.97,98.72750000000003,e6b,100.0,2144.1,27.120000000000005
SGDM+WD,128,0.01,0.0001,0.99,73.41,0.0042309812069684,73.66,1.2049696383476258,resnet18,42,cifar100,100,cosine,nips26,0,99.98,197.4550000000001,e6b,100.0,2143.3,26.570000000000007
SGDM,128,0.01,0.0,0.99,69.48,0.0020673343586735,69.71,2.2088898380279542,resnet18,42,cifar100,100,cosine,nips26,0,99.958,197.4550000000001,e6b,100.0,2144.7,30.477999999999994
SGDM,128,0.02,0.0,0.99,69.77,0.0018214697813801,69.92,2.3306896389007568,resnet18,42,cifar100,100,cosine,nips26,0,99.958,394.9100000000002,e6b,100.0,1566.9,30.188000000000002
SGDM+WD,128,0.02,0.0001,0.99,74.39,0.0042585599898546,74.39,1.149426078414917,resnet18,42,cifar100,100,cosine,nips26,0,99.972,394.9100000000002,e6b,100.0,1570.8,25.581999999999994
